Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","7","Angola","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2234","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","7","Angola","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","53.4","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","7","Angola","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","15.4","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","7","Angola","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2096","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","7","Angola","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2117","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2308","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","82.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","57","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2437","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2449","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3059","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","86.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","35.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2375","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2428","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","9","Argentine","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3108","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","9","Argentine","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","99","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","9","Argentine","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","63.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","9","Argentine","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2405","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","9","Argentine","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2416","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","1","Arménie","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2873","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","1","Arménie","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","84.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","1","Arménie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","38.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","1","Arménie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2445","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","1","Arménie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2428","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","10","Australie","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3254","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","10","Australie","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","103.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","10","Australie","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","69.4","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","10","Australie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2497","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","10","Australie","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2480","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","11","Autriche","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3722","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","11","Autriche","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","102","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","11","Autriche","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","59.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","11","Autriche","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2542","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","11","Autriche","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2533","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3022","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","89.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","27.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2440","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2406","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","12","Bahamas","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2633","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","12","Bahamas","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","84","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","12","Bahamas","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","57","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","12","Bahamas","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2417","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","12","Bahamas","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2474","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","13","Bahreïn","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2526","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","13","Bahreïn","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2553","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","16","Bangladesh","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2447","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","16","Bangladesh","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","54.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","16","Bangladesh","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","9","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","16","Bangladesh","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2266","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","16","Bangladesh","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2306","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","14","Barbade","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2885","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","14","Barbade","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","85.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","14","Barbade","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","49","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","14","Barbade","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2464","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","14","Barbade","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2485","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","57","Bélarus","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3262","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","57","Bélarus","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","94","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","57","Bélarus","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","53.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","57","Bélarus","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2491","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","57","Bélarus","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2448","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","255","Belgique","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3707","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","255","Belgique","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","96","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","255","Belgique","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","56.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","255","Belgique","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2544","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","255","Belgique","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2538","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","23","Belize","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2668","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","23","Belize","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","70.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","23","Belize","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","27","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","23","Belize","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2227","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","23","Belize","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2286","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","53","Bénin","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2659","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","53","Bénin","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","61.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","53","Bénin","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","11.4","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","53","Bénin","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2176","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","53","Bénin","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2210","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","17","Bermudes","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2665","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","17","Bermudes","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","89","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","17","Bermudes","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","62","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","17","Bermudes","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2456","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","17","Bermudes","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2496","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","18","Bhoutan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2279","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","18","Bhoutan","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2345","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2257","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","63.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","29","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2226","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2268","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","3225","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","89.7","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","30.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2522","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2508","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","20","Botswana","6128","Valeur","22000","Disponibilité alimentaire par habitant utilisée dans l'estimation de la prévalence de la sous-alimentation (kcal/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","Kcal/personne/jour","2217","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","20","Botswana","6123","Valeur","21013","Disponibilités protéiques moyennes (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","63.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","20","Botswana","6123","Valeur","21014","Disponibilités protéines moyennes d’origine animale (g/personne/jour) (moyenne sur 3 ans)","20092011","2009-2011","g/personne/jour","24.3","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","20","Botswana","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2010","2010","Kcal/personne/jour","2310","F","Estimation FAO",""
"FS","Données de la sécurité alimentaire","20","Botswana","6128","Valeur","21057","Besoins énergétiques alimentaires moyens (kcal/personne/jour)","2020","2020","Kcal/personne/jour","2332","F","Estimation FAO",""
